id,name,description,dichotomous,group,PMID example,PMID in GWAS CATALOG?,complex traits,Relation,EFO_term,API_EFO_ID,EFO_id,comments,supported by OLS,supported by Zooma,GWAS catalog UI search,Lizzy's suggestion,suggestion applied,Maria's suggestion,import_new_terms
4449,C14_0,Myristic acid,0,LIPIDS,,,simple,Need to be imported,tetradecanoic acid,,CHEBI_28875,20241028: Yue found an GO/HP term which can be imported,No,no,Yes,,,ok,Y
4447,C10_0,Capric acid,0,LIPIDS,,,simple,need to be imported,decanoic acid,,CHEBI_30813,"20241028: An term from GO, with can be imported directly",No,no,No,"I can't find a specific measurement term. If GWAS curating, I would create a new term or use vague fatty acid measurement - EFO_0005110",,ok,Y
4441,aortic_velocity_vmax,Peak forward aortic velocity,0,CARDIOVASCULAR,38082205,,simple,need import,peak aortic velocity,,CMO_0001481,,No,no,No,,,ok,Y
4440,aortic_velocity_vmax_ao_adjusted,Peak forward aortic velocity adj aortic area,0,CARDIOVASCULAR,38082205,,simple,need import,peak aortic velocity,,CMO_0001481,,No,no,No,remove: aortic measurement,yes,Accept Lizzy's suggestion,Y
4442,aortic_velocity_vmin,Peak regurgitant aortic velocity,0,CARDIOVASCULAR,38082205,no,simple,Exact match,peak aortic velocity,,CMO_0001481,,No,no,no,broad term or request new,yes,Change to 'peak aortic velocity' (Match to parent),Y
4188,HCC,Hepatocellular carcinoma,1,CANCER,,,simple,Exact match,hepatocellular carcinoma,EFO_0000182,EFO_0000182,,Yes,Yes,yes,,,ok,N
4192,AorticStenosis,Calcific aortic stenosis,1,CARDIOVASCULAR,37038246,yes,simple,Match to parent,aortic stenosis,EFO_0000266,EFO_0000266,,Yes,Yes,yes,,,ok,N
3928,Eczema,Atopic dermatitis,1,IMMUNOLOGICAL,,,simple,Exact match,atopic eczema,EFO_0000274,EFO_0000274,,Yes,Yes,yes,,,ok,N
4191,AIpredictedAF,ECG-AI model predicted atrial fibrillation risk,0,ATRIAL FIBRILLATION,37278238,,simple,Match to parent,atrial fibrillation,EFO_0000275,EFO_0000275,,Yes,Yes,no,,,ok,N
3072,AF,Atrial fibrillation,1,ATRIAL FIBRILLATION,,,simple,Exact match,atrial fibrillation,EFO_0000275,EFO_0000275,,Yes,Yes,yes,,,ok,N
3073,AFxAGE,AF-SNP age interaction,1,ATRIAL FIBRILLATION,,,complex,Match to parent,"atrial fibrillation, age","EFO_0000275,EFO_0000246","EFO_0000275,EFO_0000246",,No,no,No,add: age - EFO_0000246,yes,Accept Lizzy's suggestion,N
3074,AFxAGEo65,AF-over age 65,1,ATRIAL FIBRILLATION,,,simple,Match to parent,"atrial fibrillation, age","EFO_0000275,EFO_0000246","EFO_0000275,EFO_0000246",,No,no,No,,yes,add: age - EFO_0000246,N
3075,AFxAGEy65,AF-age 65 and under,1,ATRIAL FIBRILLATION,,,simple,Match to parent,"atrial fibrillation, age","EFO_0000275,EFO_0000246","EFO_0000275,EFO_0000246",,No,no,No,,yes,add: age - EFO_0000246,N
3077,AFxHTN,AF-SNP hypertension interaction,1,ATRIAL FIBRILLATION,,,complex,Match to parent,"atrial fibrillation, hypertension ","EFO_0000275,EFO_0000537","EFO_0000275,EFO_0000537",,No,no,No,add: hypertension - EFO_0000537,yes,Accept Lizzy's suggestion,N
4075,AfibFlutter,Atrial fibrillation or flutter,1,ATRIAL FIBRILLATION,36653562,,complex,,"atrial fibrillation, atrial flutter","EFO_0000275,EFO_0003911","EFO_0000275,EFO_0003911",,Yes,Yes,no,,,ok,N
3076,AFxBMI,AF-SNP BMI interaction,1,ATRIAL FIBRILLATION,,,complex,Match to parent,"atrial fibrillation, body mass index","EFO_0000275,EFO_0004340","EFO_0000275,EFO_0004340",,No,no,No,add: BMI - EFO_0004340,yes,Accept Lizzy's suggestion,N
3078,AFxSEX,AF-SNP sex interaction,1,ATRIAL FIBRILLATION,,,complex,Match to parent,"atrial fibrillation, sex interaction measurement ","EFO_0000275,EFO_0008343","EFO_0000275,EFO_0008343",,No,no,No,add: sex interaction measurement - EFO_0008343,yes,Accept Lizzy's suggestion,N
4103,BarretsEsophagus,Barrett's esophagus,1,DIGESTIVE,,,simple,Exact match,Barretts esophagus,EFO_0000280,EFO_0000280,,Yes,Yes,yes,,,ok,N
331,AnyCVD,Any cardiovascular disease (CVD),1,CARDIOVASCULAR,,,simple,Exact match,cardiovascular disease,EFO_0000319,EFO_0000319,,Yes,Yes,yes,,,ok,N
3344,CVDinT2D,Coronary heart disease or stroke or peripheral vascular disease in type 2 diabetes (T2D),1,DIABETIC COMPLICATIONS,,,complex,Match to parent,"cardiovascular disease, type 2 diabetes mellitus","EFO_0000319,MONDO_0005148","EFO_0000319,MONDO_0005148",,No,no,No,add: T2D - MONDO_0005148,yes,Accept Lizzy's suggestion,N
4357,mCAA,Mosaic chromosomal alteration of the autosomes,1,AGING AND LONGEVITY,36450978,yes,simple,Match to parent,chromosomal aberration,EFO_0000336,EFO_0000336,,Yes,no,yes,genomic measurement - EFO_0004554,,ok,N
4356,mCAX,Mosaic chromosomal alteration of the X chromosome,1,AGING AND LONGEVITY,36450978,yes,simple,Match to parent,chromosomal aberration,EFO_0000336,EFO_0000336,,Yes,no,yes,genomic measurement - EFO_0004554,,ok,N
4355,mCAY,Mosaic chromosomal alteration of the Y chromosome,1,AGING AND LONGEVITY,36450978,yes,simple,Match to parent,chromosomal aberration,EFO_0000336,EFO_0000336,,Yes,no,yes,genomic measurement - EFO_0004554,,ok,N
4430,COPD_ICD,COPD (ICD defined),1,LUNG,36777996,yes,simple,Exact match,chronic obstructive pulmonary disease,EFO_0000341,EFO_0000341,,No,no,yes,COPD - EFO_0000341,yes,ok,N
3276,COPD,Chronic obstructive pulmonary disease (COPD),1,LUNG,,,simple,Exact match,chronic obstructive pulmonary disease,EFO_0000341,EFO_0000341,,Yes,Yes,yes,,,ok,N
3103,CD,Crohn's disease,1,INFLAMMATORY BOWEL,,,simple,Exact match,Crohn's disease,EFO_0000384,EFO_0000384,,Yes,Yes,yes,,,ok,N
3161,lateDKDadjHbA1cBMI,Late diabetic kidney disease adj HbA1c-BMI,1,RENAL,,,simple,Match to parent,diabetic nephropathy,EFO_0000401,EFO_0000401,,No,no,No,diabetic nephropathy - EFO_0000401,yes,Accept Lizzy's suggestion,N
3832,SevereDKD,Severe diabetic kidney disease,1,RENAL,35763030,yes,simple,Exact match,diabetic nephropathy,EFO_0000401,EFO_0000401,,No,no,yes,diabetic nephropathy - EFO_0000401,yes,Accept Lizzy's suggestion,N
3160,lateDKD,Late diabetic kidney disease,1,RENAL,,,simple,Match to parent,diabetic nephropathy,EFO_0000401,EFO_0000401,,No,no,Yes,,yes,Change to diabetic nephropathy (EFO_0000401),N
3080,allDKD,All diabetic kidney disease (DKD),1,RENAL,,,simple,Exact match,diabetic nephropathy,EFO_0000401,EFO_0000401,,Yes,Yes,no,,,ok,N
3081,allDKDadjHbA1cBMI,All diabetic kidney disease (DKD) adj HbA1c-BMI,1,RENAL,,,simple,Match to parent,diabetic nephropathy,EFO_0000401,EFO_0000401,,Yes,Yes,no,,,ok,N
3831,AllDKDvControl,All diabetic kidney disease vs. controls,1,RENAL,,,simple,Exact match,diabetic nephropathy,EFO_0000401,EFO_0000401,,Yes,Yes,no,,,ok,N
336,DiabeticNephro,Diabetic nephropathy,1,DIABETIC COMPLICATIONS,,,simple,Exact match,diabetic nephropathy,EFO_0000401,EFO_0000401,,Yes,Yes,yes,,,ok,N
4387,AllDKDvControl_DM, All diabetic kidney disease vs. controls in diabetes,1,RENAL,35763030,yes,complex,,"diabetic nephropathy, diabetes mellitus","EFO_0000401,EFO_0000400","EFO_0000401,EFO_0000400",,No,no,yes,remove: diabetic mellitus,yes,"ok as is, don't accept Lizzy's suggestion",N
4392,allDKD_T1D,All diabetic kidney disease (DKD) in type 1 diabetes,1,RENAL,31537649,yes,complex,,"diabetic nephropathy, type 1 diabetes mellitus","EFO_0000401,MONDO_0005147","EFO_0000401,MONDO_0005147",,No,no,yes,,,ok,N
4393,allDKDadjHbA1cBMI_T1D,All diabetic kidney disease (DKD) adj HbA1c-BMI in type 1 diabetes,1,RENAL,31537649,yes,complex,,"diabetic nephropathy, type 1 diabetes mellitus","EFO_0000401,MONDO_0005147","EFO_0000401,MONDO_0005147",,Yes,no,yes,remove adjusted terms,yes,Accept Lizzy's suggestion,N
4405,lateDKD_T1D,Late diabetic kidney disease (DKD) in type 1 diabetes,1,RENAL,31537649,yes,complex,,"diabetic nephropathy, type 1 diabetes mellitus","EFO_0000401,MONDO_0005147","EFO_0000401,MONDO_0005147",,No,Yes,yes,,yes,"diabetic nephropathy should be EFO_0000401, not EFO_0003884",N
4384,allDKD_T2D, All diabetic kidney disease (DKD) in type 2 diabetes,1,RENAL,29703844,yes,complex,,"diabetic nephropathy, type 2 diabetes mellitus","EFO_0000401,MONDO_0005148","EFO_0000401,MONDO_0005148",,No,no,yes,,,ok,N
4385,lateDKD_T2D,Late diabetic kidney disease (DKD) in type 2 diabetes,1,RENAL,29703844,yes,complex,,"diabetic nephropathy, type 2 diabetes mellitus","EFO_0000401,MONDO_0005148","EFO_0000401,MONDO_0005148",,No,no,yes,,yes,"diabetic nephropathy should be EFO_0000401, not EFO_0003884",N
4623,DCM,"Dilated cardiomyopathy, strict definition",1,CARDIOVASCULAR,,,simple,Match to parent,dilated cardiomyopathy,EFO_0000407,EFO_0000407,,No,no,No,,,ok,N
4622,DCM_broad,"Dilated cardiomyopathy, broad definition",1,CARDIOVASCULAR,,,simple,Exact match,dilated cardiomyopathy,EFO_0000407,EFO_0000407,,No,no,No,,,ok,N
343,HYPERTENSION,Hypertension,1,CARDIOVASCULAR,,,simple,Exact match,hypertension,EFO_0000537,EFO_0000537,,Yes,Yes,yes,,,ok,N
